每	B-r	O
天	E-r	O
坚	B-v	O
持	E-v	O
游	B-vn	O
泳	E-vn	O
，	S-wd	O
感	B-v	O
染	E-v	O
流	B-n	B-dis
感	E-n	E-dis
也	S-d	O
会	S-v	O
好	S-a	O
得	S-ude3	O
快	S-a	O
2	B-m	B-num
0	I-m	I-num
2	I-m	I-num
0	E-m	E-num
年	S-t	O
0	B-m	B-num
1	E-m	E-num
月	S-t	O
0	B-m	B-num
1	E-m	E-num
日	S-t	O
0	B-m	B-num
9	E-m	E-num
:	S-wm	O
2	B-m	B-num
1	E-m	E-num
来	B-n	O
源	E-n	O
：	S-wm	O
钱	B-ns	O
江	E-ns	O
晚	B-n	O
报	E-n	O
中	B-n	B-gro
小	I-n	I-gro
学	I-n	I-gro
生	E-n	E-gro
下	B-t	O
周	E-t	O
就	B-d	O
要	E-d	O
考	B-vi	O
试	E-vi	O
了	S-y	O
，	S-wd	O
许	B-m	O
多	E-m	O
家	B-n	B-gro
长	E-n	E-gro
孩	B-n	B-gro
子	E-n	E-gro
鼓	B-v	O
足	E-v	O
了	S-ule	O
劲	S-n	O
，	S-wd	O
结	B-n	O
果	E-n	O
却	S-d	O
被	S-pbei	O
不	B-vl	O
期	I-vl	O
而	I-vl	O
遇	E-vl	O
的	S-ude1	O
流	B-n	B-dis
感	E-n	E-dis
击	B-v	O
倒	E-v	O
，	S-wd	O
不	B-d	O
得	I-d	O
不	E-d	O
请	B-vi	O
假	E-vi	O
挤	S-v	O
医	B-n	O
院	E-n	O
。	S-wj	O

但	S-c	O
不	S-d	O
想	S-v	O
未	S-d	O
考	S-v	O
就	S-d	O
输	S-v	O
，	S-wd	O
有	B-rz	O
的	E-rz	O
孩	B-n	B-gro
子	E-n	E-gro
去	S-vf	O
不	S-d	O
了	S-y	O
学	B-n	O
校	E-n	O
，	S-wd	O
就	S-d	O
坚	B-v	O
持	E-v	O
上	S-vf	O
校	B-s	O
外	E-s	O
培	B-n	O
训	I-n	O
班	E-n	O
，	S-wd	O
结	B-n	O
果	E-n	O
病	B-n	O
毒	E-n	O
传	B-v	O
播	E-v	O
开	S-v	O
来	S-vf	O
，	S-wd	O
更	S-d	O
多	S-a	O
孩	B-n	B-gro
子	E-n	E-gro
中	B-v	O
招	E-v	O
；	S-wf	O
着	B-a	O
急	E-a	O
的	S-ude1	O
孩	B-n	B-gro
子	E-n	E-gro
发	S-v	O
着	S-uzhe	O
高	B-n	O
烧	E-n	O
想	S-v	O
着	S-uzhe	O
功	B-n	O
课	E-n	O
，	S-wd	O
口	B-s	O
中	E-s	O
还	S-d	O
念	B-vl	O
念	I-vl	O
有	I-vl	O
词	E-vl	O
…	B-ws	O
…	E-ws	O
临	S-v	O
考	S-v	O
前	S-f	O
的	S-ude1	O
病	S-a	O
娃	S-ng	O
和	S-cc	O
家	B-n	B-gro
长	E-n	E-gro
都	S-d	O
好	S-a	O
糟	B-a	O
心	E-a	O
。	S-wj	O

上	S-v	O
完	S-vi	O
培	B-n	O
训	I-n	O
班	E-n	O
，	S-wd	O
回	B-v	O
到	E-v	O
家	S-n	O
就	S-d	O
不	S-d	O
舒	B-a	O
服	E-a	O
这	S-rzv	O
两	S-m	O
天	S-qt	O
，	S-wd	O
陈	S-nr1	O
女	B-n	O
士	E-n	O
早	B-t	O
晨	E-t	O
睁	B-v	O
开	E-v	O
眼	S-n	O
C	B-x	O
o	I-x	O
V	E-x	O
第	B-m	O
一	E-m	O
件	S-q	O
事	S-n	O
就	B-d	O
是	E-d	O
摸	S-v	O
出	S-vf	O
体	B-n	O
温	I-n	O
计	E-n	O
给	S-p	O
查	B-v	O
出	E-v	O
流	B-n	B-dis
感	E-n	E-dis
的	S-ude1	O
女	B-n	O
儿	E-n	O
测	S-v	O
体	B-n	O
温	E-n	O
。	S-wj	O

昨	B-t	O
日	E-t	O
3	B-m	B-num
7	E-m	E-num
℃	S-q	O
，	S-wd	O
已	B-d	O
经	E-d	O
回	B-v	O
归	E-v	O
正	B-a	O
常	E-a	O
水	B-n	O
平	E-n	O
，	S-wd	O
“	S-wyz	O
还	S-d	O
好	S-a	O
她	S-rr	O
体	B-n	O
质	E-n	O
好	S-a	O
，	S-wd	O
只	S-d	O
烧	S-vi	O
了	S-ule	O
一	B-m	O
两	E-m	O
天	S-qt	O
就	S-d	O
退	S-v	O
烧	S-vi	O
了	S-y	O
，	S-wd	O
同	B-vn	O
班	E-vn	O
同	B-n	O
学	E-n	O
同	B-f	O
期	E-f	O
得	S-v	O
流	B-n	B-dis
感	E-n	E-dis
的	S-ude1	O
都	S-d	O
还	S-d	O
在	S-p	O
3	B-m	B-num
9	E-m	E-num
℃	S-q	O
徘	B-vi	O
徊	E-vi	O
。	S-wj	O

”	S-wyy	O
上	B-t	O
